"longitude","latitude","lastlatency","model_path","detection_confidence"
"4.279298","50.8881991","293.0","models\unrealsim.pt","0.5"
"4.2793172","50.8882119","321.10000002384186","models\unrealsim.pt","0.5"
"4.2793005","50.888194","218.29999995231628","models\unrealsim.pt","0.5"
"4.279323","50.8881842","297.2000000476837","models\unrealsim.pt","0.5"
"4.2793156","50.8881968","310.39999997615814","models\unrealsim.pt","0.5"
"4.2792995","50.8882017","301.5","models\unrealsim.pt","0.5"
"4.2793889","50.8882634","244.60000002384186","models\unrealsim.pt","0.5"
"4.2793918","50.8882605","316.09999990463257","models\unrealsim.pt","0.5"
"4.2793387","50.8882455","224.5","models\unrealsim.pt","0.5"
"4.2793692","50.8882636","283.2999999523163","models\unrealsim.pt","0.5"
"4.2778567","50.8883187","324.60000002384186","models\unrealsim.pt","0.5"
"4.2798784","50.8887042","245.60000002384186","models\unrealsim.pt","0.5"
"4.2793302","50.8882556","305.7000000476837","models\unrealsim.pt","0.5"
"4.2793684","50.888262","228.5","models\unrealsim.pt","0.5"
"4.279349","50.888252","240.5","models\unrealsim.pt","0.5"
"4.279351","50.8882502","303.89999997615814","models\unrealsim.pt","0.5"
"4.2793536","50.8882594","312.10000002384186","models\unrealsim.pt","0.5"
"4.2793473","50.888257","257.40000009536743","models\unrealsim.pt","0.5"
"4.279349","50.8882567","275.0","models\unrealsim.pt","0.5"
"4.2793231","50.8882402","227.40000009536743","models\unrealsim.pt","0.5"
"4.2793306","50.8882319","315.10000002384186","models\unrealsim.pt","0.5"
"4.2792417","50.8882637","249.5","models\unrealsim.pt","0.5"
"4.2792017","50.8882606","321.3000000715256","models\unrealsim.pt","0.5"
"4.2793514","50.8882414","264.39999997615814","models\unrealsim.pt","0.5"
"4.2793609","50.8882487","243.80000007152557","models\unrealsim.pt","0.5"
"4.2793375","50.8882569","256.60000002384186","models\unrealsim.pt","0.5"
"4.2793376","50.8882589","270.39999997615814","models\unrealsim.pt","0.5"
"4.2793446","50.8882586","229.39999997615814","models\unrealsim.pt","0.5"
"4.2793384","50.8882557","247.80000007152557","models\unrealsim.pt","0.5"
"4.2793375","50.8882525","214.0","models\unrealsim.pt","0.5"
"4.2793443","50.8882536","216.29999995231628","models\unrealsim.pt","0.5"
"4.2793417","50.8882508","285.5","models\unrealsim.pt","0.5"
"4.2793422","50.8882492","226.29999995231628","models\unrealsim.pt","0.5"
"4.2793478","50.8882519","200.79999995231628","models\unrealsim.pt","0.5"
"4.2793463","50.8882544","307.5","models\unrealsim.pt","0.5"
"4.2793479","50.8882546","279.1999999284744","models\unrealsim.pt","0.5"
"4.2793467","50.8882538","235.0","models\unrealsim.pt","0.5"
"4.2793471","50.8882536","277.0","models\unrealsim.pt","0.5"
"4.2793594","50.8882509","313.5","models\unrealsim.pt","0.5"
"4.2793313","50.8882475","253.0","models\unrealsim.pt","0.5"
"4.2793326","50.8882485","305.7999999523163","models\unrealsim.pt","0.5"
"4.2793398","50.888248","260.2999999523163","models\unrealsim.pt","0.5"
"4.2793459","50.8882461","214.5","models\unrealsim.pt","0.5"
"4.2793444","50.8882455","276.2000000476837","models\unrealsim.pt","0.5"
"4.2793557","50.8882492","205.69999992847443","models\unrealsim.pt","0.5"
"4.2793438","50.8882488","324.7999999523163","models\unrealsim.pt","0.5"
"4.2793159","50.8882023","301.3000000715256","models\unrealsim.pt","0.5"
"4.2793206","50.8882504","251.60000002384186","models\unrealsim.pt","0.5"
"4.2792548","50.888076","242.39999997615814","models\unrealsim.pt","0.5"
"4.2793555","50.8882638","293.0","models\unrealsim.pt","0.5"
"4.2793488","50.8882432","354.7999999523163","models\unrealsim.pt","0.5"
"4.2793531","50.8882471","257.10000002384186","models\unrealsim.pt","0.5"
"4.2793601","50.8882497","232.70000004768372","models\unrealsim.pt","0.5"
"4.2793309","50.8882725","212.20000004768372","models\unrealsim.pt","0.5"
"4.2793614","50.8882724","258.60000002384186","models\unrealsim.pt","0.5"
"4.2793461","50.8882754","268.7000000476837","models\unrealsim.pt","0.5"
"4.2793431","50.8882575","232.60000002384186","models\unrealsim.pt","0.5"
"4.2793447","50.8882574","319.60000002384186","models\unrealsim.pt","0.5"
"4.2794036","50.8882385","290.60000002384186","models\unrealsim.pt","0.5"
"4.2793571","50.8882482","221.70000004768372","models\unrealsim.pt","0.5"
"4.2793592","50.8882763","251.89999997615814","models\unrealsim.pt","0.5"
"4.279349","50.888277","232.10000002384186","models\unrealsim.pt","0.5"
"4.2793346","50.8882789","222.0","models\unrealsim.pt","0.5"
"4.27932","50.8882787","209.0","models\unrealsim.pt","0.5"
"4.2793189","50.8882807","241.60000002384186","models\unrealsim.pt","0.5"
"4.279319","50.8882815","220.70000004768372","models\unrealsim.pt","0.5"
"4.2793224","50.8882719","252.79999995231628","models\unrealsim.pt","0.5"
"4.2793239","50.8882654","302.2999999523163","models\unrealsim.pt","0.5"
"4.2793304","50.8882636","298.7000000476837","models\unrealsim.pt","0.5"
"4.2793415","50.8882595","227.70000004768372","models\unrealsim.pt","0.5"
"4.2793534","50.8882566","284.6999999284744","models\unrealsim.pt","0.5"
"4.2793523","50.8882565","248.79999995231628","models\unrealsim.pt","0.5"
"4.2793558","50.8882578","284.09999990463257","models\unrealsim.pt","0.5"
"4.2793551","50.8882568","230.29999995231628","models\unrealsim.pt","0.5"
"4.2793483","50.8882573","245.29999995231628","models\unrealsim.pt","0.5"
"4.2793444","50.8882571","213.0","models\unrealsim.pt","0.5"
"4.2793281","50.8882505","320.2999999523163","models\unrealsim.pt","0.5"
"4.279331","50.888252","274.2000000476837","models\unrealsim.pt","0.5"
"4.2793363","50.8882538","309.3000000715256","models\unrealsim.pt","0.5"
"4.279339","50.8882538","298.60000002384186","models\unrealsim.pt","0.5"
"4.2793426","50.8882533","224.09999990463257","models\unrealsim.pt","0.5"
"4.2793433","50.8882541","237.20000004768372","models\unrealsim.pt","0.5"
"4.279348","50.8882556","235.10000002384186","models\unrealsim.pt","0.5"
"4.2793479","50.8882531","201.20000004768372","models\unrealsim.pt","0.5"
"4.279348","50.8882546","241.70000004768372","models\unrealsim.pt","0.5"
"4.2793514","50.8882562","231.70000004768372","models\unrealsim.pt","0.5"
"4.2793432","50.8882583","281.0","models\unrealsim.pt","0.5"
"4.2792783","50.8882588","256.0","models\unrealsim.pt","0.5"
"4.2793593","50.8882585","222.40000009536743","models\unrealsim.pt","0.5"
"4.279317","50.8882555","202.0","models\unrealsim.pt","0.5"
"4.2793009","50.8882513","225.59999990463257","models\unrealsim.pt","0.5"
"4.279301","50.8882577","206.59999990463257","models\unrealsim.pt","0.5"
"4.2793029","50.8882485","296.89999997615814","models\unrealsim.pt","0.5"
"4.2793468","50.8882519","298.8000000715256","models\unrealsim.pt","0.5"
"4.279365","50.8882644","342.8000000715256","models\unrealsim.pt","0.5"
"4.279338","50.8882521","251.10000002384186","models\unrealsim.pt","0.5"
"4.2793392","50.8882515","211.0","models\unrealsim.pt","0.5"
"4.2793199","50.8882484","281.60000002384186","models\unrealsim.pt","0.5"
"4.279323","50.8882505","207.0","models\unrealsim.pt","0.5"
"4.2793172","50.8882531","618.7000000476837","models\unrealsim.pt","0.5"
"4.279334","50.8882585","436.39999997615814","models\unrealsim.pt","0.5"
"4.279334","50.8882585","275.2000000476837","models\unrealsim.pt","0.5"
"4.2793588","50.8882855","343.7999999523163","models\unrealsim.pt","0.5"
"4.2793729","50.8882598","346.7000000476837","models\unrealsim.pt","0.5"
"4.2793704","50.8882565","282.2999999523163","models\unrealsim.pt","0.5"
"4.2793828","50.8882607","436.7999999523163","models\unrealsim.pt","0.5"
"4.2793461","50.888263","297.89999997615814","models\unrealsim.pt","0.5"
"","","370.2999999523163","models\unrealsim.pt","0.5"
"","","286.0","models\unrealsim.pt","0.5"
"4.2792863","50.8882335","277.2000000476837","models\unrealsim.pt","0.5"
"4.2793178","50.8882507","305.6999999284744","models\unrealsim.pt","0.5"
"4.2793473","50.8882539","230.89999997615814","models\unrealsim.pt","0.5"
"4.2793575","50.8882596","258.09999990463257","models\unrealsim.pt","0.5"
"4.2793349","50.8882577","282.7999999523163","models\unrealsim.pt","0.5"
